Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
fire	accident	46	83	TBD
fire	ash	5	2	TBD
fire	incident	15	6	TBD
fire	temperature	8	4	TBD
fire	intense_heat	3	2	TBD
fire	impact	3	11	TBD
fire	excessive_heat	5	2	TBD
depression	fatigue	178	83	TBD
depression	anxiety	498	256	TBD
depression	problem	203	114	TBD
depression	death	85	20	TBD
depression	weight_gain	41	14	TBD
depression	pain	171	258	TBD
depression	alcoholism	35	47	TBD
depression	obesity	75	82	TBD
depression	illness	51	115	TBD
depression	heart_disease	20	10	TBD
depression	unemployment	29	25	TBD
depression	behavior	57	19	TBD
depression	binge_eating	20	5	TBD
depression	smoking	19	38	TBD
depression	sadness	40	15	TBD
depression	substance_abuse	35	38	TBD
depression	sleep_problem	33	8	TBD
depression	headache	36	16	TBD
